Tibetan Description
རྣམ་པར་སྣང་མཛད་	 Vairochana
ས་སྡེ་ལྔ་	Five Treatises on Levels
ཤ་ཟ་	Flesh eater
དར་ཞིང་རྒྱས་པ་	flourish and spread
ལྟོ་རྒྱབ་	food and clothes
བཙོན་འགྲུས་	Forbearance
མན་ངག་	foremost instructions
མན་ངག་སྡེ་	foremost instuctions section
གཟུགས་	form
གཟུགས་ཅན་གྱི་རྒྱན་	form having ornament
དགོས་འབྲེལ་ཡན་ལག་བཞི་ 	four branches of connected purposes
བསམ་གཏན་བཞི་པོ་ 	four concentrations of Buddha
དབང་བཞི་	four empowerements
བཞི་བརྒྱ་པ་	Four Hundred Verses
སོ་སོ་ཡང་དག་པར་རིག་པ་བཞི་	four individual right cognitions
ལུང་སྡེ་བཞི་	Four Sections of Vinaya
རྡོ་རྗེ་གདན་བཞིའི་རྒྱུད་	Four Vajra Seats Tantra 
དུམ་བུ་བཞི་པ་	Fourth Section Tantra  
བཤེས་སྤྲིང་	Friendly Letter
སངས་རྒྱས་སྲས་གཅིག་གི་རྒྱུད་	From the Buddha and his Son’s Tantra 
མདུན་བསྐྱེད་	front generation
རྡོ་རྗེ་སེམས་དཔའ་ཀུན་དུ་བཀོད་པ་	Fully Displayed Vajrasattva Tantra
རྣམ་པར་རྒྱུ་བའི་རླུང་ 	fully moving loong
འཕྲེང་བ་	garland
མན་ངག་འཕྲེང་བའི་རྒྱུད་	Garland of Foremost Instruction Tantra 
ཁྱུང་	Garuda
ཁྱུང་ཆེན་གཤོག་རྫོགས་	Garuda’s Complete Confession Tantra
ཚོགས་	gathering | accumulation
ཐིག་ལེ་འདུས་པའི་རྒྱུད་	Gathering of the Essence Tantra  
སྤྱིའི་དོན་	general meaning
སྤྱི་ཆིངས་ 	general outline
བསྐྱེད་	generate, arouse
སེམས་བསྐྱེད་ 	generation of mind of awakening
བསྐྱེད་རིམ་	generation stage
གཤའ་མ་	Genuine
གནས་གཙང་མའི་ལྷ་ 	gods of the pure abodes
གསེར་	gold
བཟང་པོ་ 	good
ཡོན་ཏན་	good qualities
རིམ་པར་	gradually
སྒྲུབ་ཆེན་	great accomplishing
རྫོགས་པ་ཆེ་	Great Completion
ཆོས་ཟད་ཆེན་པོ	Great Exhaustion of Phenomena
རྫོགས་པ་ཆེན་པོ་	Great Perfection
ནམ་མཁའ་ཆེ་རྒྱལ་པོ་	Great Space King Tantra
བྱེ་བྲག་བཤད་མཛོད་ཆེན་མོ་	Great Treasury of Explanations of Particulars
མ་ཧཱ་ 	Great Union Yoga (sometimes just Maha, for example when Maha-Ati)
མ་ཧཱའི་་ཡོ་གའི་ཐེག་པ་	Great Yoga Vehicle
གྲུབ་ཆེན་	great yogi
ཐེག་པ་ཆེ་ཆུང་	Greater and Lesser Vehicles
ཐེག་པ་ཆེན་པོ་	Greater Vehicle
ས་ 	ground
འགྲོན་པོ་	guest
དཔལ་གསང་བ་འདུས་པ་	Guhyasamaja 
རྟ་མགྲིན་	Hayagriva
དབུ་	head
སྙིང་	heart | essence
ཁྲག་འཐུང་	Heruka
ཧེ་རུ་ཀ་	Heruka
ཁྲག་འཐུང་མངོན་འབྱུང་གི་རྒྱུད་	Heruka Manifestation Tantra  
རིག་སྔགས་སྤྱིའི་སྒྲུབ་པ་ཧེ་རུ་ཀའི་ཏནྟྲ་	Heruka Tantra of General Accomplishment of Knowledge Mantras  
མངོན་ཤེས་	higher knowledge
རབ་ 	highest
ཨ་ནུ་	Highest Yoga Tantra
ཁང་པ་	house
མ་རིག་པ་	ignorance
སྒྱུ་མ་	illusion 
སྒྱུ་འཕྲུལ་	illusory display | emanation
སྒྱུ་འཕྲུལ་བླ་མ་	Illusory Display of Guru Tantra
མདོ་སྒྱུ་འཕྲུལ་ཡེ་ཤེས་རྔམ་པ་ཀློག་གི་འཁོར་ལོ་	Illusory Emanation Sutra - Scripture of the Wheel of Wisdom Fearsome Lightning 
དབྱིངས་འོད་གསལ་	iluminating expanse
མ་ཐག་ 	immediately
མ་ཐག་	immediately
གྲངས་མེད་པ་ 	incalculable/countless
འཕེལ་བ	increase
རྡོ་རྗེ་ཐེག་པ་	Indestructible Vehicle
མཐའ་ཡས་	infinite
བདེ་བ་རབ་འབྱམས་	Infinite Ease Tantra
སྐད་ཅིག་གིས་ 	instantly
དགོངས་དོན་	intended meaning
དགོངས་པ་ 	intent | mind
བར་དོ་	intermediate state
སངས་རྒྱས་ངོ་སྤྲོད་པ་རིན་པོ་ཆེ་གསང་བའི་རྒྱུད་	Introducing the Buddha, the Jewel Secret Tantra 
དབང་ཕྱུག་	Ishvara
ཨོ་རྒྱན་མཚོ་གླིང་	island of Uddiyana
བསལ་བྱ་ 	issue
རྒྱལ་བྱེད་ཀྱི་ཚལ་	Jetravana grove
ནོར་བུ་	jewel | jem
ཡེ་ཤེས་ཆོས་སྐུ་	Jnanadharmakaya
དགའ་	joy
དུས་ཀྱི་འཁོར་ལོ་	Kalachakra Tantra
ལས་ཀྱི་རླུང་	karmic loong
སྐུ་	kaya, body
གནད་	key point, important point, essential point, marma
ཕུར་པ་	kilaya
ཕུར་པ་ཐལ་བྱེད་	Kilaya Creator of Ashes
ཆོས་ཉིད་རྒྱལ་པོའི་རྒྱུད་	King of Dharmata Tantra  
རྨད་བྱུང་རྒྱལ་པོའི་རྒྱུད་	King of Marvels Tantra
ཤེས་པ་	knowledge
རིག་སྔགས་འཆང་བ་	knowledge mantra holders
རྣམ་བཤད་རིག་པ་	Knowledge of the Thorough Explaination 
བྱ་བའི་རྒྱུད	Kriya Tantra
གཞོན་ནུ་གདོང་དྲུག་པའི་རྒྱུད་	Kumara Shadanana Tantra 
མ་མོས་	lacking confidence
སྒྲོན་མ་	lamp
སྒྲོན་མ་	lamp
བསམ་གཏན་ཕྱི་མའི་རྒྱུད་	Later Meditation Tantra  
རྫུ་འཕྲུལ་གྱི་རྐང་པ་ 	Legs of miraclous concentration
ཉན་ཐོས་ཀྱི་ཐེག་པ་	Lesser Vehicle
ཐེག་དམན་	Lesser Vehicle
སྤྲིངས་ཡིག་	letter
ཡི་གེ་	letter
སྲོག་འཛིན་གྱི་རླུང་	life-holder loong
དབུ་མ་སྣང་བ་	Light of the Middle Way 
གསེར་གྱི་ཆར་པ་ལྟ་བུའི་རྒྱུད་	Like Golden Rain Tantra 
དོན་དམ་ཡེ་ཤེས་ཀྱི་རླུང་	loong of absolute wisdom
སྲོག་ཆེན་པོའི་རླུང་	loong of the great life-breath 
ཡེ་ཤེས་ཀྱི་རླུང་	loong of wisdom
ཡེ་ཤེས་ཀྱི་རླུང་	loong of wisdom
ཚེ་བདག་ལས་ཀྱི་གཤིན་རྗེའི་རྒྱུད་	Lord of Life Yamantaka Tantra 
པདྨ་	lotus
བཤད་རྒྱུད་པདྨ་ཅོད་པན་	Lotus Crown Explanatory Tantra 
པདྨ་བརྩེགས་པའི་རྒྱུད་	Lotus Mound Tantra
བྱམས་པ་ 	loving kindness, Maitreya
སྐེད་པ་	lower back
མ་ཧཱ་མཱ་ཡཱ་	Mahamaya
སྒྱུ་མ་ཆེན་པོའི་རྒྱུད་	Mahamaya Tantra  
དཔལ་མཆོག་དང་པོ་	Mahayoga Virtue Tantra  
དབང་ཕྱུག་ཆེན་པོའི་	Maheshvara
དབང་ཕྱུག་ཆེན་པོའི་རྒྱུད་	Maheshvara Tantra  
བར་ཆད་བསྲུང་བ་གཟི་ལྡན་འབར་བ་མཚམས་ཀྱི་རྒྱུད་	Majestic Blazing Retreat Tantra Protecting From the Obstacles  
རྒྱུད་བདུད་རྩི་རོལ་པ་ཆེ་ཆུང་	Major and Minor Nectar Display 
ཇེ་ཆུང་ལ་བཏང་	make smaller
འདྲེ་	Malevolent ghost
མ་མོ་	Mamo
དཀྱིལ་འཁོར་	mandala
མངོན་པར་བྱང་ཆུབ་པ་	manifest enlightenment
མངོན་པར་རྟོགས་པ་	manifest realization
རྣམ་སྤྲུལ་	manifestation
འཇམ་དཔལ་	Manjushri
འཇམ་དཔལ་རྩ་རྒྱུད་	Manjushri Root Tantra 
འཇམ་དཔལ་དྲ་བ་གཅོད་པའི་རྒྱུད་	Manjushri Tantra of Cutting The Net
འཇམ་དཔལ་ཡེ་ཤེས་སེམས་དཔའ་དྲི་མ་མེད་པའི་རྒྱུད་	Manjushri Tantra of Stainless Wisdom Being
འཇམ་དཔལ་རོལ་པའི་མདོ་	Manjushri Vikri Hita Namah Sutra
འཇམ་དཔལ་སྒྱུ་དྲྭ་	Manjushri Web of Maya (Mayajala)
འཇམ་དཔལ་ཞལ་ལུང་	Manjushri’s Oral instructions
སྔགས་	mantra
བྲིས་མ་	manuscript
འོད་ཟེར་ཅན་	Marici
ཆོ་འཕྲུལ་	marvelous emanation
སྐུའི་ཆོ་འཕྲུལ་	marvelous emanation of body (?)
ཐུགས་ཀྱི་ཆོ་འཕྲུལ་	marvelous emanation of mind (?)
ཀུན་བརྗོད་པའི་ཆོ་འཕྲུལ་	marvelous emanation of total expression
རྨད་བྱུང་	marvels
སློབ་དཔོན་ 	master
དོན་ཡོད་གྲུབ་པ་	meaningful accomplishment
དོན་ཡོད་ཞགས་པ་	Meaningful Lasso Tantra 
བསམ་གཏན་ཁང་	meditation house
བསམ་གཏན་ 	meditative absorption
བསོད་ནམས་ 	merit / meritous karma
ཐབས་	method
སྒྲུབ་ཐབས་	method for accomplishment
དབུ་མ་	Middle Way
སེམས་	Mind 
ཐུགས་	mind 
ཡིད་	Mind / Mind faculty
སེམས་དང་སེམས་བྱུང་	mind and mental factors
སེམས་ཉིད་ 	mind itself
དཀོར་པོའི་སེམས་	Mind of virtue
སེམས་སྡེ་	mind section
དྲན་པ་	mindfulness
རྫུ་འཕྲུལ་གྱི་ཆོ་འཕྲུལ་	miraculous feats of marvelous emanations
ཟླ་བ་	moon
ཁ་ 	mouth
རྒྱུ་བའི་རླུང་ 	moving loong
སྐྱེ་བ་མེད་	moving lung 
རི་རབ་	Mt. Meru
ཕྱག་རྒྱ་	mudra
ཤུགས་འབྱུང་བ་	natural occurence 
རང་བཞིན་ 	nature
སྭ་བྷཱ་ཝ་	nature
བདུད་རྩི་	nectar
དྲ་བ་	net | web
བམ་པོ་དགུ་	nine bundle/s
ཐེག་པ་རིམ་པ་དགུ་	Nine Stage Vehicle
སེམས་གནས་དགུ་	Nine Stages of Mind Abiding
ཐེག་པ་དགུ་	nine Vehicles
སྤྲུལ་སྐུ་	nirmanakaya
རྣམ་པར་མི་རྟོག་པ་	no thought
བདག་མེད་	No-self
རྣམ་པར་མི་རྟོག་པའི་རྒྱུད་	No-thought Tantra 
འཕགས་པ་ 	noble
འཕགས་པའི་ཡུལ་	noble land
འདུ་ཤེས་མེད་པ་	non-cognition | cognitionless
ཆོས་མ་ཡིན་པ་	non-Dharma
སྐྱེས་མེད་	non-origination
ཉེས་པ་	Non-virtue
ལྷོད་པར་མི་བྱེད་	not loosen up, not relax
འཇུག་ཡུལ་	object of engagement, engaged object
བར་ཆད་	obstacle
མངོན་	obvious /evidently clear
རྒྱ་མཚོ་	ocean
དུས་རྒྱ་མཚོའི་རྒྱུད་	Ocean of Time Tantra  
ལྟ་བ་རྒྱ་མཚོའི་རྒྱུད་	Ocean of Views Tantra 
མཆོད་ 	offering, veneration, practice
སྣུམ་ 	oil
འབུམ་	one hundred thousand
ཁ་ཅིག་	one person
མཉམ་པར་འཇོག་པ་བྱེད་པ་	one-pointedness
ཞལ་ལུང་	oral instructions
གདམས་ངག་	Oral transmission
ཐུན་མོང་	ordinary
སེམས་	ordinary mind
ཐུན་མོང་པ་ཁ་ཅིག་ 	ordinary person
སྐྱེ་རྡོ་རྗེ་	Origination of Vajra Tantra
ཐུབ་པ་དགོངས་པའི་རྒྱན་	Ornament of Capable One's Intention
རང་བཞིན་བརྗོད་པའི་རྒྱན་	Ornament of the Straightforward Expression of Nature
ཕྱིའི་ཡུལ་	outer object
ཕྱིར་ 	outside, therefore, because
ཞི་བར་བྱེད་པ་	pacification
ཞི་བ་	Pacify
པདྨཱ་ཀ་ར་	Padmakara
པདྨཱ་ཀ་ར་དཔལ་མཆོག་དང་པོའི་རྒྱུད་	Padmakara Glorious Supreme Primal Tantra 
ཐལ་མོ་ 	palm (of the hand)
བྱེ་བྲག་	particular | detail
པཱ་ཤཱ་ཀ་ར་རྡོ་རྗེ་རྩེ་མོའི་རྒྱུད་	Pashakara Vajra Peak Tantra  
འདས་ 	passed away
ལམ་	path
རྩེ་མོ་	peak
གཏེར་ཆེན་ཡོངས་རྫོགས་	Perfect Great Treasure Revealer Tantra
བརྩོན་འགྲུས་ཕུན་སུམ་ཚོགས་པ་	perfect perseverance
བརྩོན་འགྲུས་	perseverance
ཁྱབ་བྱེད་ཀྱི་རླུང་	pervader loong
སྐྱབས་གནས་	place or object of refuge?
ཡུལ་ 	place, region, area, object...
གནས་ 	place, to stay, to remain, realm
འཇོག་པ་	placement
དུར་ཁྲོད་ཁུ་བྱུག་རོལ་པ་	Play of the Charnel Ground-Cuckoo  
དམ་ཚིག་	pledge
སྐལ་པ་	portion / fortune
འདུག་སྟངས་	posture
སྟོབས་ 	power
དབང་ 	power, empowerment
ནུས་ 	power, opportunity
སྤྱོད་རྒྱུད་ཀྱི་ཐེག་པ་	Practice Tantra Vehicle
བསྟོད་པ་	praise | to praise
ཕྱོགས་ཀྱི་གླང་པོས་འཇམ་དཔལ་ལ་བསྟོད་པ་	Praise of Manjushri in Dignaga’s Compendium of Valid Cognition 
ཉི་ཁྲི་དག་ལྡན་	Prajnaparamita in Twenty Thousand Verses
མཁན་པོ་ 	preceptor
རིན་ཆེན་	precious
རིན་ཆེན་ཕྲེང་བ་	Precious Garland
རིན་པོ་ཆེ་འཕྲེང་བའི་རྒྱུད་	Precious Garland Tantra  
ཡེ་	primordial
ཡེ་སངས་རྒྱས་པའི་རྒྱུད་	Primordial Buddhahood Tantra
ཡེ་ཤེས་ 	primordial wisdom
ཟབ་མོ་	profound
ཟབ་མོའི་དོན་ 	profound meaning
ལུང་སྟོན་	prophecy 
ཕྱག་འཚལ་ 	prostrate, pay homage, bow
རློམ་སེམས་	puffed up mind
པུཎྜ་རཱི་ཀ་འི་རྒྱུད་	Pundarika Tantra
དམ་པ་	pure 
ཡེ་ཤེས་དམ་པའི་རྒྱུད་	Pure Wisdom Tantra 
དུང་དུང་བ་ 	pure, deep
