Tibetan	Description
ཀུན་ནས་ཉོན་མོངས་པ་མེད་པའི་ཡན་ལག་	[E: [s: [c.s: [b:MSA] «asaṃkleśāṅga» ] [c.e: [HP] «unafflicted branch; branch of the unafflicted» ] [n:Comment: See yan lag.] ]
ཀུན་ནས་ཉོན་མོངས་པ་མེད་པར་སྒྲུབ་པའི་རྣམ་པ་	[E: [g: [p:vb] [t: i:བསྒྲུབ་ i:སྒྲུབ་ i:བསྒྲུབས་ i:སྒྲུབས་ ]] [s: [c.s: [b:MSA] «niḥkleśatopasaṃhārākāra» ] [c.e: [HP] «aspect of achieving non-affliction; aspect of achieving the absence of afflictions» ] ]
ཀུན་ནས་ཉོན་མོངས་པ་མེད་པར་མོས་པ་	[E: [g: [p:vb] [t: i:མོས་ i:མོས་ i:མོས་ i:མོས་ ]] [s: [c.s: [b:MSA] «asaṃkleśādhimokṣa» ] [c.e: [HP] «belief/interest/zeal in/being keen for the absence of afflictions» ] ]
ཀུན་ནས་ཉོན་མོངས་པ་མེད་པར་ཡོངས་སུ་ལོངས་སྤྱོད་པ་	[E: [g: [p:vb] [t: i:སྤྱད་ i:སྤྱོད་ i:སྤྱད་ i:སྤྱོད་ ]] [s: [c.s: [b:MSA] «asaṃkliṣṭa-paribhoga» ] [c.e: [HP] «unafflicted thorough enjoyment; partaking without affliction» ] ]
ཀུན་ནས་ཉོན་མོངས་པ་ཡང་མེད་	[E: [s: [c.s: [b:MSA] «na saṃkleśaḥ» ] [c.e: [HP] «without affliction» ] ]
ཀུན་ནས་ཉོན་མོངས་པ་ལས་ལྡོག་པས་	[E: [g: [p:vb] [t: i:ལྡོག་ i:ལྡོག་ i:ལྡོགས་ i:ལྡོགས་ ]] [s: [c.s: [b:MSA] «saṃkleśān nirvṛttitaḥ» ] [c.e: [HP] «due to turning away from afflictions» ] ]
ཀུན་ནས་ཉོན་མོངས་པའི་རྒྱུ་	[E: [s: [c.s: [b:MSA] «saṃkleśa-hetu» ] [c.e: [HP] «cause of thorough affliction» ] ]
ཀུན་ནས་ཉོན་མོངས་པའི་ཆོས་	[E: [s: [c.s: [b:MSA] «kliṣṭo dharmaḥ» ] [c.e: [HP] «thoroughly afflicted phenomenon» ] ]
ཀུན་ནས་ཉོན་མོངས་པའི་ནད་ཀྱི་གཉེན་པོ་	[E: [s: [c.s: [b:MSA] «kleśa-vyādhi-pratipakṣatva» ] [c.e: [HP] «antidote to the disease of the afflictions» ] ]
ཀུན་ནས་ཉོན་མོངས་པའི་ཕྱོགས་འགག་པ་	[E: [g: [p:vb] [t: i:འགག་ i:འགག་ i:འགགས་ i:འགགས་ ]] [s: [c.s: [b:MSA] «saṃkleśa-pakṣa-nirodha» ] [c.e: [HP] «ceasing the sphere of the afflicted; ceasing the afflicted quarter; ceasing the class of thorough afflictions» ] ]
ཀུན་ནས་ཉོན་མོངས་པའི་མཚན་ཉིད་	[E: [s: [c.s: [b:MSA,MV] «saṃkleśa-lakṣaṇa» ] [c.e: [HP] «character of the afflicted» ] ]
ཀུན་ནས་ཉོན་མོངས་མེད་རྣམ་དག་	[E: [s: [c.s: [b:MSA] «niḥsaṃkleśa-viśuddhitā» ] [c.e: [HP] «unafflicted purity» ] ]
ཀུན་ནས་ཉོན་མོངས་ཤིན་ཏུ་གྲོལ་	[E: [g: [p:vb] [t: i:འགྲོལ་ i:འགྲོལད་ i:གྲོལ་ i:གྲོལད་ ]] [s: [c.s: [b:MSA] «suvimokṣāya saṃklesāt» ] [c.e: [HP] «complete freedom from afflictions; complete release from the afflictions» ] ]
ཀུན་ནས་ལྡང་བ་	[E: [g: [p:vb] [t: i:ལྡང་ i:ལྡང་ i:ལྡངས་ i:ལྡངས་ ]] [s: [c.s: [b:C] «paryutthāna» ] [c.e: [HP] «rise up; get up; flow; suffice» ] [c.e: [b:C] «obsession» ] ]
ཀུན་ནས་མནར་སེམས་ཀྱི་སེམས་	[E: [g: [p:vb] [t: i:མནར་ i:མནར་ i:མནརད་ i:མནརད་ ]] [s: [c.s: [b:L] «āghāta-citta» ] [c.e: [HP] «attitude of harmful intent» ] ]
ཀུན་ནས་སྣང་བ་	[E: [g: [p:vb] [t: i:སྣང་ i:སྣང་ i:སྣང་ i:སྣང་ ]] [s: [c.s: [b:C] «saṃdrśyate» ] [c.e: [HP] «thoroughly illuminate/appear/shine» ] [c.e: [b:C] «appears; is beheld; appears bright; be equal to(?)» ] ]
ཀུན་ནས་མཛེས་པ་	[E: [s: [c.s: [b:C] «samanta-prasādika» ] [c.e: [HP] «beautiful in every way» ] [c.e: [b:C] «fair in every way» ] ]
