Tibetan	Description
འབྲས་བུ་ཆེ་བ་	The twelfth of the heavens of the form realm. Rebirth there is the karmic result of accomplishing an ordinary form of the fourth meditative absorption. See also https://read.84000.co/translation/UT22084-072-007.html#UT22084-072-007-273 .
འབྲས་བུ་ཆེ་	Twefth god realm of form, meaning “great fruition.”
འབྲས་བུ་ཆེ་	Second of three heavens of gods on the fourth concentration level.
འབྲས་བུ་ཆེ་	A class of gods who inhabit one of the levels in the highest heaven of the realm of form.
འབྲས་བུ་ཆེ་	One of the heavens of Buddhist cosmology, third of three levels of the fourth dhyāna realm.
འབྲས་བུ་ཆེ་	Twelfth heaven of the form realm, it is the third of the three heavens that make up the fourth dhyāna heaven in the form realm.
འབྲས་བུ་ཆེ་	Lit. “Those in the Great Result.” The twelfth of the seventeen heavens of the form realm; also the name of the gods living there. In the form realm, which is structured according to the four concentrations and pure abodes‍, or Śuddhāvāsa‍, it is listed as the third of the three heavens that correspond to the fourth of the four concentrations.
འབྲས་བུ་ཆོས་སྐུ་	Eighth of the eight progressive sections of clear realization.
འབྲས་བུ་དང་བཅས་པ་	One of the śrāvakas attending the delivery of the MMK.
འབྲས་བུ་དང་ལྡན་པ་	One of the twenty-seven realms in the Heaven Free from Strife.
འབྲས་བུ་གསུམ་གྱི་ཤིང་	The three myrobalan plants: chebulic myrobalan (Skt. harītakī), beleric myrobalan (Skt. vibhītaka), and emblic myrobalan (Skt. āmalakī).
འབྲས་བུ་གསུམ་	The combination of Phyllanthus emblica, Terminala chebula, and Terminalia bellerica.
འབྲས་བུ་ཀུན་ཕྱེད་	A park in Sustained by Fruition.
འབྲས་བུ་རྟག་ཏུ་མཛས་	A forest of the asuras.
འབྲས་བུ་ཞག་ལོན་	This substance has not been identified.
འབྲས་བུའི་སྨན་	An acceptable form of medicine for a monk, as identified in the Four Supports section of the ordination ritual.
འབྲས་བུས་ཉེ་བར་འཚོ་བ་	A realm inhabited by garland-bearer gods.
འབྲས་བུ་	Effect, result, fruit.
འབྲས་ཆན་	The Sanskrit is also used for a porridge made from other grains.
འབྲས་ཆན་	A dish of rice cooked in milk that the Buddha was offered to break his fast after six years of austerities.
འབྲས་ཁུའི་ཆུ་	A river that flows down from the lake Anavatapta.
འབྲས་ཀྱི་གྲོང་ཁྱེར་	A city.
འབྲས་ཕུང་	Name of an important Buddhist site in Andhra, near Amarāvatī.
འབྲས་ཟན་	An acceptable form of food for a monk, as identified in the Four Supports section of the ordination ritual.
འབྲས་	Symptom that may be evidence of an illness considered an impediment to ordination.\nSee also https://read.84000.co/translation/UT22084-001-001.html#UT22084-001-001-1011 .
འབྲི་བ་མ་ཡིན། འཕེལ་བ་མ་ཡིན་	Also translated as “non-decrease and non-increase.” See https://read.84000.co/translation/UT22084-061-016.html#UT22084-061-016-29 .
འབྲི་གདོང་	The name of a karmic wind involved in the formation of an embryo in its seventeenth week.
འབྲོག་གནས་	Name of a yakṣa general.
འབྲོག་གནས་	One of the five yakṣa generals.
འབྲོག་གནས་	A certain yakṣa lord tamed by the Buddha.
འབྲོག་མི་ལོ་ཙཱ་བ་ཤཱཀྱ་ཡེ་ཤེས་	Śākya Yeshé, commonly known by the title Drokmi Lotsāwa, was a Tibetan translator and important figure in the Lamdré (Tib. {lam 'bras}) lineage. Drokmi’s dates are uncertain, but Tibetan literature offers a range of possible dates beginning in 990 and ending in 1074.\nFor a hagiography of Drokmi, see Stearns 2010, pp. 83–101. For an academic appraisal of his life and works, see Davidson 2005, pp. 161–209.
འབྲོག་མི་ཤཱཀྱ་ཡེ་ཤེས་	Drokmi Śākya Yeshé, the great 11th century translator from Lhatsé in Western Tsang.
འབྲོག་མི་ཤཱཀྱ་ཡེ་ཤེས་	992 or 993 to 1043 or 1072; Tibetan translator (of an early phase of the later translation period) and important figure in the Lamdré ({lam 'bras}) lineage.
འབྲོག་ཏུ་རྣམ་པར་ཆད་པ་	A city in Videha.
འབྲུ་གསུག་	Tib. is unrecorded in Negi. Skt. spṛkkā might possibly be Trigonella corniculata (McHugh, 2008, p 180, n30).
འབྲུ་མར་བསྐོལ་བ་	In Āyurvedic medicine, taila can be used both internally and externally. It is produced by boiling herbs in edible oil, such as sesame seed oil.
འབྲུག་སྒྲ་དང་རྔ་བོ་ཆེའི་སྐད་ཀྱི་རྒྱལ་པོ་	One of the tathāgatas attending the delivery of the MMK.
འབྲུག་སྒྲ་དབྱངས་	Foremost in terms of miraculous abilities among the followers of the buddha Janendra.
འབྲུག་སྒྲ་དབྱངས་	The 550th buddha in the first list, 550th in the second list, and 543rd in the third list.
འབྲུག་སྒྲ་མཐུ་རྩལ་	Foremost in terms of miraculous abilities among the followers of the buddha Mārakṣayaṃkara.
འབྲུག་སྒྲ་ང་རོ་	Foremost in terms of miraculous abilities among the followers of the buddha Vimuktaketu.
འབྲུག་སྒྲ་སྦྱངས་སྙན་སྐར་མའི་རྒྱལ་པོ་མེ་ཏོག་ཀུན་ཏུ་རྒྱས་པ་	A buddha in the distant past. Also the name of a prince in the distant past.
འབྲུག་སྒྲ་སྒྲོགས་	Foremost in terms of miraculous abilities among the followers of the buddha Kṣemapriya.
འབྲུག་སྒྲའི་དབྱངས་ཀྱི་རྒྱལ་པོ་	A buddha from the past.
འབྲུག་སྒྲའི་རྒྱལ་པོ་	Son of the buddha Cīrṇabuddhi.
འབྲུག་སྒྲ་	Attendant of the buddha Guṇāgradhārin.
འབྲུག་སྒྲ་	A bodhisattva present in the circle around Śākyamuni.
འབྲུག་སྒྲ་	Name of a nāga king; name of Rāvaṇa’s son in the Rāmāyaṇa.
འབྲུག་སྒྲ་	The 75th buddha in the first list, 75th in the second list, and 76th in the third list.
འབྲུག་སྒྲ་	Foremost in terms of miraculous abilities among the followers of the buddha Duṣpradharṣa.
འབྲུག་སྒྲ་	Buddha in the presence of whom the buddha Kusumanetra (196 according to the third enumeration) first gave rise to the mind of awakening.
འབྲུམ་བུ་མེ་དབལ་	A bacterial infection of the skin, also called Ignis Sacer and St. Anthony’s Fire. The Tibetan means “fireflames.” Its worst form as described in the sūtra is “necrotizing fasciitis,” when the skin and flesh beneath blacken and die; it can lead quickly to death.
འབྲུམ་ཕྲན་	An illness such as measles or rubella, considered an impediment to ordination.\nSee also https://read.84000.co/translation/UT22084-001-001.html#UT22084-001-001-1011 .
འབུ་གསུག་	Tib. is unrecorded in Negi. Skt. spṛkkā might possibly be Trigonella corniculata (McHugh, 2008, p 180, n30).
འབུམ་ཆེན་སྡེ་ལྔ་	(1) The long Prajñā pāramitā (https://read.84000.co/translation/toh8-1.html), which contains 100,000 ślokas; (2) the Mahā pari nirvāṇa (https://read.84000.co/translation/toh119.html–https://read.84000.co/translation/toh120.html), which contains 100,000 testaments given by the Buddha at the time of his pari nirvāṇa; (3) the Ratna kūṭa (https://read.84000.co/section/O1JC114941JC14667.html), which contains 100,000 distinct names of the Buddha; (4) the Avataṃsaka (https://read.84000.co/section/O1JC114941JC14666.html), which contains 100,000 aspirations; and (5) the Laṅkāvatāra (https://read.84000.co/translation/toh107.html-https://read.84000.co/translation/toh108.html), which contains 100,000 discourses that are ways of subjugating the rākṣasas. These five sets of 100,000 features are also said to correspond to the Buddha’s body, speech, mind, qualities, and activities, respectively.
འབུམ་རི་བའི་	Literally “worth a hundred thousand.”
འབུམ་སྡེ་ལྔ་	(1) The long Prajñā pāramitā (https://read.84000.co/translation/toh8-1.html), which contains 100,000 ślokas; (2) the Mahā pari nirvāṇa (https://read.84000.co/translation/toh119.html–https://read.84000.co/translation/toh120.html), which contains 100,000 testaments given by the Buddha at the time of his pari nirvāṇa; (3) the Ratna kūṭa (https://read.84000.co/section/O1JC114941JC14667.html), which contains 100,000 distinct names of the Buddha; (4) the Avataṃsaka (https://read.84000.co/section/O1JC114941JC14666.html), which contains 100,000 aspirations; and (5) the Laṅkāvatāra (https://read.84000.co/translation/toh107.html-https://read.84000.co/translation/toh108.html), which contains 100,000 discourses that are ways of subjugating the rākṣasas. These five sets of 100,000 features are also said to correspond to the Buddha’s body, speech, mind, qualities, and activities, respectively.
འབྱམས་པ་	A great bodhisattva.
འབྱོར་འོད་	Buddha in the presence of whom the buddha Ratnaskandha (301 according to the third enumeration) first gave rise to the mind of awakening.
འབྱོར་བའི་སྒྲོན་མ་	Foremost in terms of miraculous abilities among the followers of the buddha Dharmeśvara.
འབྱོར་བ་	Attendant of the buddha Ketumat.
འབྱོར་བ་	A previous ruler of the Heaven of the Thirty-Three.
འབྱོར་བྱེད་	Attendant of the buddha Deva.
འབྱོར་བྱིན་	Father of the buddha Jñānapriya.
འབྱོར་བཟང་འབྱོར་པ་	An ancient king of Aṅga.
འབྱོར་དགའ་སེང་གེའི་སྟོབས་	Foremost in terms of miraculous abilities among the followers of the buddha Sumitra.
འབྱོར་དགའ་	A son of Bhava and half brother of Pūrṇa from Sūrpāraka.
འབྱོར་གྲགས་	Son of the buddha Gandhābha.
འབྱོར་གྲགས་	Mother of the buddha Meruprabha.
འབྱོར་ལྡན་འོད་ཟེར་	Buddha in the presence of whom the buddha Vajrasena (245 according to the third enumeration) first gave rise to the mind of awakening.
འབྱོར་ལྡན་གྲགས་པ་	The 840th buddha in the first list, 839th in the second list, and 829th in the third list.
འབྱོར་ལྡན་	Son of the buddha Dṛḍhavīrya.
འབྱོར་ལྡན་	Birthplace of the buddha Nanda.
འབྱོར་ལྡན་	Attendant of the buddha Guṇārci.
འབྱོར་ལྡན་	Son of the buddha Guṇāgradhārin.
འབྱོར་ལྡན་	Father of the buddha Praśāntadoṣa.
འབྱོར་ལྡན་	The 475th buddha in the first list, 474th in the second list, and 468th in the third list.
འབྱོར་ལེན་	A son of Bhava and half brother of Pūrṇa from Sūrpāraka.
འབྱོར་པ་གསལ་	Foremost in terms of miraculous abilities among the followers of the buddha Vegajaha.
འབྱོར་པའི་འོད་	Mother of the buddha Caraṇaprasanna.
འབྱོར་པའི་བློ་གྲོས་	Foremost in terms of miraculous abilities among the followers of the buddha Guṇaratna.
འབྱོར་པའི་བློ་	Attendant of the buddha Mahādatta.
འབྱོར་པའི་བློ་	Foremost in terms of insight among the followers of the buddha Asaṅgadhvaja.
འབྱོར་པའི་དབང་པོ་	Father of the buddha Ṛddhiketu.
འབྱོར་པའི་གཟི་བརྗིད་	Attendant of the buddha Sudatta.
འབྱོར་པའི་གཟི་བརྗིད་	Birthplace of the buddha Arthamati.
འབྱོར་པའི་ལྷ་	Father of the buddha Ratnapradatta.
འབྱོར་པའི་མཛོད་	Birthplace of the buddha Jagattoṣaṇa.
འབྱོར་པའི་མཛོད་	Foremost in terms of miraculous abilities among the followers of the buddha Nala.
འབྱོར་པའི་རྒྱལ་པོ་	Father of the buddha Samṛddha.
འབྱོར་པའི་སྒྲ་	Birthplace of the buddha Candrārka.
འབྱོར་པའི་ཡོན་ཏན་	Father of the buddha Vighuṣṭatejas.
འབྱོར་པར་གནས་	Foremost in terms of miraculous abilities among the followers of the buddha Bhāgīratha.
འབྱོར་པར་ལྡན་	The 220th buddha in the first list, 219th in the second list, and 219th in the third list.
འབྱོར་པ་	Father of the buddha Suvayas.
འབྱོར་པ་	Son of the buddha Cakradhara.
འབྱོར་པ་	Attendant of the buddha Puṣpa dama sthita.
འབྱོར་པ་	A householder and the father of Pūrṇa from Sūrpāraka.
འབྱོར་པ་	One of the tathāgatas attending the delivery of the MMK; one of the grahas.
འབྱོར་སྐྱོབ་	A son of Bhava and half brother of Pūrṇa from Sūrpāraka.
འབྱུང་བ་བཟང་པོ་	The buddha realm of King of Thunderous Voice.
འབྱུང་བ་བཟང་པོ་	A past world where the Tathāgata Glorious Secret lived along with the bodhisattva Smṛtibuddhi, a past incarnation of the bodhisattva Prajñākūṭa.
འབྱུང་བ་ཆེན་པོ་བཞི་	Earth, water, fire, and wind.
འབྱུང་བ་ཆེན་པོ་བཞི་	The four “main” or “great” outer elements of earth, water, fire, air, and (when there is a fifth) space.
འབྱུང་བ་ཆེན་པོ་	The four great or gross elements are earth, water, fire, and air.
འབྱུང་བ་ཆེན་པོ་	The four elements composing the physical world: earth, water, fire, and air.
འབྱུང་བ་ཆེན་པོ་	The four major elements here are air, fire, water, and earth. The fifth element of space is often added to this list.
འབྱུང་བ་ཆེན་པོ་	The four great elements are earth, water, fire, and wind. They are called “great” because they are found in the external world as well as inside the bodies of beings.
འབྱུང་བ་ཆེན་པོ་	The four great elements of earth, water, heat, and wind do not refer to the coarse entities by the same name, but rather to minimal entities characterized by specific features (such as “hardness” for the earth element) and specific functions (such as “supporting” for the earth element). These elements are usually believed to be in principle invisible; all primary rūpa (“form/materiality”) is in principle invisible, while visibility is a type of secondary rūpa, which depends on the four great elements but is not to be confused with them.
འབྱུང་བ་ཆེན་པོ་	Depending on the context, may translate either: (a) Skt. mahābhūta, Tib. {'byung ba chen po}, the four “main” or “great” outer elements of earth, water, fire, air, and (when there is a fifth) space; or: (b) Skt. dhātu, Tib. khams, the “eighteen elements” introduce, in the context of the aggregates, elements, and sense-media, the same six pairs as the twelve sense-media, as elements of experience, adding a third member to each set: the element of consciousness (vijñāna), or sense. Hence the first pair gives the triad eye-element (caksur dhātu), form-element (rūpadhātu), and eye-consciousness-element, or eye-sense-element (caksur vijñāna dhātu)—and so on with the other five, noting the last, mind-element (manodhātu), phenomena-element (dharma dhātu), and mental-sense-element (mano vijñāna dhātu).
འབྱུང་བ་པ་	One of the rāśis.
འབྱུང་བའི་དཔལ་	A buddha realm.
འབྱུང་བའི་དཔལ་	A great bodhisattva.
འབྱུང་བའི་ནང་སྤྱོད་	A vidyārāja from the personal retinue of Vajrapāṇi.
འབྱུང་བའི་ཕུང་པོ་	One of the uṣṇīṣa kings attending the delivery of the MMK.
འབྱུང་བ་	A buddha realm.
འབྱུང་བ་	A realm in the distant past.
འབྱུང་དཀའ་	Name of a bodhisattva only mentioned in one other sūtra.
འབྱུང་གནས་	A buddha realm.
འབྱུང་ཁུངས་ཀྱི་བརྒྱན་པ་	An emanated mountain on the trunk of Airāvaṇa.
འབྱུང་མེད་འོད་	One of the tathāgatas attending the delivery of the MMK.
འབྱུང་མེད་	Son of the buddha Pratibhānakūṭa.
འབྱུང་མོ་	A female bhūta or any nonhuman female being; in some mantras it seems to be used as a proper name.
འབྱུང་པོ་འདུལ་བ་	‟Tamer of Spirits,” the titular deity of the Bhūtaḍāmara Tantra; a wrathful form of Vajrapāṇi.
འབྱུང་པོ་ཆེན་པོ་བཞི་	Earth, water, fire, and wind. Also called “four elements.”
འབྱུང་པོ་ལྡན་མ་	One of the vidyārājñīs dwelling with Śākyamuni in the realm of the Pure Abode.
འབྱུང་པོ་མཐར་བྱེད་	One of the tathāgatas attending the delivery of the MMK.
འབྱུང་པོ་ཐམས་ཅད་འཁྱིལ་མ་	One of the dhāraṇī goddesses present at the delivery of the MMK.
འབྱུང་པོ་ཐམས་ཅད་དབང་དུ་བྱེད་པ་	One of the great dūtīs attending upon Lord Vajrapāṇi.
འབྱུང་པོ་ཐམས་ཅད་ཀྱི་ཏོག་མ་	One of the dhāraṇī goddesses present at the delivery of the MMK.
འབྱུང་པོ་ཐམས་ཅད་པ་	One of the rāśis.
འབྱུང་པོ་ཐམས་ཅད་ཡང་དག་པར་འཁྲུག་པར་བྱེད་པ་	A vidyārāja from the personal retinue of Vajrapāṇi.
འབྱུང་པོའི་བདག་པོ་	‟Lord of Bhūtas,” one of the eight bhūta kings.
འབྱུང་པོའི་དབང་ཕྱུག་མ་	An epithet of Caṇḍakātyāyanī.
འབྱུང་པོའི་དབང་ཕྱུག་	‟Lord of Bhūtas,” one of the eight bhūta kings.
འབྱུང་པོའི་ཁྱིམ་	Name of place in the Adumā region.
འབྱུང་པོས་ཟིན་	This is likely an alternate Tibetan translation for the Sanskrit phrase *bhūtagraha, more commonly rendered in Tibetan as {'byung po'i gdon}. The phrase shares semantic resonances with the compound bhūta grahāviṣṭa/{'byung po'i gdon gyis non pa} and the Sanskrit bhūtāveśa, all of which refer to being possessed by a class of spirit (bhūta/{'byung po}).
འབྱུང་པོ་	A specific class of nonhuman supernatural beings, or a term for spirits in general.
འབྱུང་པོ་	This can be a general name for spirits or demons, but is also used specifically for ghosts.
འབྱུང་པོ་	A class of spirits; in the Bhūta ḍāmara Tantra this term can refer to all nonhuman beings, including gods.
འབྱུང་པོ་	The name of a certain brahmin who lived in Rājagṛha.\nNot to be confused with Bhūta, the name of a merchant and a dog, and a certain class of evil beings.
འབྱུང་པོ་	A ghost in the Indian tradition, sometimes haunting houses where they were killed. They can appear in human or animal form. They cast no shadow and their feet are always backward. In Hindi they are called bhoot.
འབྱུང་པོ་	The name of a certain householder’s dog and the name given to the lost infant it carried home to its owner one night, which would one day be reunited with his birth mother.\nAlso the name of a certain brahmin who lived in Rājagṛha, and the name of a certain class of evil beings.
འབྱུང་ཞིང་འཇུག་	A term for the mind’s propensity to be diffused outward and to engage in saṃsāric phenomena.
འཆད་མཁན་	Son of the buddha Śāntagati.
འཆག་པའི་གནས་	This is a straight walkway used for walking meditation, usually around forty feet long and often raised above the level of the ground. Monks walk up and down the length of it.
འཆག་སར་བྱས་པ་	An acceptable form of shelter for a monk, as identified in the Four Supports section of the ordination ritual.
འཆག་ས་	This is a straight walkway used for walking meditation, usually around forty feet long and often raised above the level of the ground. Monks walk up and down the length of it.
འཆར་བ་པོ་	The son of the court priest in Kapilavastu, the Buddha’s home town. Also called Kālodāyin (black Udāyin) because of his dark skin. He and his wife Guptā became monk and nun. He became an arhat who was a skilled teacher. However he also figures prominently in accounts of inappropriate sexual behavior that instigated vinaya rules. He and Guptā are also said to have conceived a son after their ordination.
འཆར་བ་	One of the śrāvakas attending the delivery of the MMK.
འཆར་བ་	A king of Vatsa, contemporary of the Buddha; also, a king based in Ujjain, contemporary of the Buddha.
འཆར་བྱེད་ནག་པོ་	Śrāvaka arhat.
འཆར་གྱལ་	One of the kings of Nepal, possibly Udayadeva of the seventh century; a legendary king before the time of the Buddha.
འཆར་ཀ་ནག་པོ་	The pupil of the Buddha who is said to be foremost in inspiring faith among laypeople.
འཆར་ཀ་	A hearer disciple of the Buddha.
འཆར་ཀ་	Name of an ascetic in a story the Buddha tells.
འཆར་ཀ་	King of the country of Suvīra during the time of Buddha Śākyamuni.
འཆར་ཀ་	King of Vatsa during the time of Buddha Śākyamuni. Also rendered here as “Udayana.”
འཆར་ཀ་	A village or town in Kosala. See also https://read.84000.co/translation/UT22084-001-006.html#UT22084-001-006-1909 .
འཆར་ཀ་	One of the notorious “group of six” monks whose antics and heavy-handed interference prompted a great many of the Buddha’s injunctions on conduct.
འཆི་འཕོ་མེད་པ་རྣམ་པར་གནོན་	A bodhisattva.
འཆི་འཕོའི་ཆོས་	The Sanskrit cyavana can also have the specific connotation of “dropping” to a lower state of rebirth upon passing away.
འཆི་བ་མེད་	Birthplace of the buddha Anavanata.
འཆི་བ་རབ་ཏུ་འཇོམས་པའི་གཙུག་ཏོར་རྣམ་པར་རྒྱལ་བ་	A goddess.
འཆི་བ་རྗེས་སུ་དྲན་པ་	Tenth of the ten recollections.
འཆི་བ་ཤེས་པ་འགོག་པ་ཤེས་པ་ལ་མཁས་པ་	A sage; a former incarnation of the Buddha.
འཆི་བའི་འདུ་ཤེས་	Fifth of the six aspects of perception.
འཆི་བདག་གི་བདུད་	The aspect of Māra that is death itself.
འཆི་བདག་གི་བདུད་	This is the figurative or embodied demon of death.
འཆི་བདག་	Ruler of the hells.
འཆི་བདག་	Another name for King Yama (Skt. yamarāja; Tib. {gshin rje rgyal po}), the deity who judges the dead and rules over the hell realms of the underworld.
འཆི་མེད་བྱིན་	Foremost in terms of miraculous abilities among the followers of the buddha Priyaṅgama.
འཆི་མེད་རྔ་སྒྲའི་རྒྱལ་པོ་	The name of the dhāraṇī that confers rebirth in Sukhāvatī taught by the Buddha Śākyamuni in The Noble Dhāraṇī “Essence of Immeasurable Longevity and Wisdom.” Also the name of a buddha traditionally equated with Amitābha or Amitāyus. Also called Dundubhi svara rāja.
འཆི་མེད་རྟོགས་པའི་མེ་ཏོག་འོད་ཟེར་ཅན་	A buddha.
འཆི་མེད་	The 64th buddha in the first list, 64th in the second list, and 65th in the third list.
འཆི་མེད་	One of sixteen realms that surround the Howling Hell. Alternatively referred to as Impossible to Die ({gsod med}) in the Tibetan text.
འཆིང་བའི་ནང་སྤྱོད་	A vidyārāja from the personal retinue of Vajrapāṇi.
འཆིང་ཆེན་པོ་	A goddess of pestilence; pestilence personified.
འདའ་བར་དཀའ་བའི་འཇིག་རྟེན་	Realm of a tathāgata.
འདའ་བར་དཀའ་བ་	Duratikramā (Difficult to Transcend) is a buddhafield inhabited by the Buddha Lotus Body Blooming from the Light of the Dharma.
འདབ་འགྲོ་	One of the garuḍa kings.
འདབ་བདུན་མ་	One of the female śrāvakas attending the delivery of the MMK.
འདབ་བཟང་སྐྱེས་	One of the garuḍa kings.
འདབ་བཟངས་	Birthplace of the buddha Dharmamati.
འདབ་བཟངས་	A type of garuḍa: a divine creature with the body of a giant bird.
འདབ་དཀར་	One of the garuḍa kings.
འདབ་གསུམ་མ་	One of the female śrāvakas attending the delivery of the MMK.
འདབ་མ་བརྒྱ་པ་	One of the uṣṇīṣa kings attending the delivery of the MMK.
འདབ་མེད་སྐྱེས་	One of the garuḍa kings.
འདབ་སྤེན་	Golden-fronted leafbird.
འདམ་བུ་སྦྱིན་	A town near Rājagṛha, it is home to the brahmin Tiṣya, father of Śāriputra Upatiṣya.
འདམ་བུ་སྔོན་པོ་	A species of reeds; according to Monier-Williams, the Arundo tibialis, or Karka.
འདམ་བུའི་ཁྲོད་	A village presumed to be near Pāṭaliputra (present day Patna) but whose exact location is unknown. Rendered in Tibetan in other texts as {sgra can} or {chu bo can}. See https://read.84000.co/translation/UT22084-072-012.html#UT22084-072-012-52 .
འདམ་བུའི་ཚོང་པ་	(1) A wandering mendicant. (2) A mendicant living in Nālandā.
འདམ་བུས་བྱིན་	A great bodhisattva.
འདམ་བུ་	A type of worm ({srin bu}) that lives in and feeds on the body.
འདམ་བུ་	The 265th buddha in the first list, 264th in the second list, and 264th in the third list.
འདམ་གྱི་རྒྱལ་པོ་	A legendary king before the time of the Buddha.
འདམ་ལས་བརྒལ་	Foremost in terms of insight among the followers of the buddha Gandhahastin.
འདམ་ལས་རྒལ་བ་	Buddha in the presence of whom the buddha Amitasvara (712 according to the third enumeration) first gave rise to the mind of awakening.
འདམ་ལས་རྒལ་	Mother of the buddha Oghajaha.
འདམ་ལས་རྒལ་	Foremost in terms of insight among the followers of the buddha Siṃhagati.
འདམ་རྫབ་མེད་	Son of the buddha Vimalakīrti.
འདས་པ་དང་མ་འོངས་པ་དང་ད་ལྟར་བྱུང་བའི་གོ་ཆ་ཐོགས་པ་མེད་	A buddha.
འདས་པ་དང་མ་འོངས་པ་དང་ད་ལྟར་བྱུང་བའི་ལས་རྣམས་དང་ལས་ཡང་དག་པར་ལེན་པ་རྣམས་ཀྱི་རྣམ་པར་སྨིན་པ་གནས་ཀྱི་སྒོ་དང་རྒྱུའི་སྒོ་ནས་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་རབ་ཏུ་ཤེས་པ་	Third of the ten powers of the tathāgatas.
འདས་པ་རྣམ་པར་གནོན་པ་	A great bodhisattva.
འདས་པའི་དུས་ལ་མ་ཆགས་མ་ཐོགས་པའི་ཡེ་ཤེས་གཟིགས་པར་འཇུག་གོ་	Sixteeenth of the eighteen distinct qualities of the buddhas.
འདི་ཇི་སྙམ་དུ་སེམས་	Literally, “what do you think about this?”
འདི་ལྟ་བུ་འདས་པ་	As one of the twelve aspects of the Dharma, it means accounts of the lives of past buddhas and bodhisattvas.\nSee also “twelve wheels of the Dharma.”
འདོད་འཕགས་	Son of the buddha Mahendra.
འདོད་བཞོ་ཡུལ་འཁོར་མཆོད་	Son of the buddha Raśmijāla.
འདོད་ཆགས་དང་བྲལ་བའི་ས་	Lit. “Desireless level.” The sixth of the ten levels traversed by all practitioners, from the level of an ordinary person until reaching buddhahood. See “ten levels.”
འདོད་ཆགས་དང་བྲལ་བའི་ས་	Name of the sixth level attainable by bodhisattvas, from which point there is no more rebirth. See https://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-1282 .
འདོད་ཆགས་རྡོ་རྗེ་མ་	Consort of Red Acala.
འདོད་ཆགས་རྡོ་རྗེ་མ་	One of the goddesses in the maṇḍala of Vajrasattva.
འདོད་ཆགས་རྡོ་རྗེ་	A deity representing the faculty of taste.
འདོད་ཆགས་རྡོ་རྗེ་	A deity personifying the true nature of the faculty of taste.
འདོད་ཆགས་རྡུལ་བཅོམ་པ་	One of the future buddhas of this kalpa.
འདོད་ཆགས་	First of the five fetters associated with the lower realms.
འདོད་ཆགས་	One of the three root afflictions that bind beings to cyclic existence.
འདོད་ཆགས་	One of the three poisons (triviṣa), together with hatred and confusion, that bind beings to cyclic existence.
འདོད་ཆགས་	Passion, attachment, and/or lust. One of the affective behavior patterns or “afflictions” known as the three poisons.
འདོད་ཆགས་	One of the six root afflictions (Skt. mūlakleśa), often listed as one of the three poisons (Skt. triviṣa) along with anger (Skt. dveṣa) and delusion (Skt. moha).
འདོད་ཆགས་	One of the three basic mental afflictions (together with aversion and confusion) within which all other mental afflictions can be subsumed. The term rāga comes from the root rañj, which can also have the sense of “to color,” thus making it possible to create significant double-meanings in Sanskrit (rakta can thus mean “impassioned,” but also “red” or “blood”). Liberated beings are often described as vītarāga, “free from attraction.”
འདོད་དགུར་སྒྱུར་བའི་གཟུགས་ཅན་	A mountain.
འདོད་ཁམས་	One of the three realms of saṃsāra (the other two being the form and formless realms).
