Tibetan	Description
ཀུན་དགའ་	1) ānanda 2) ārāma 3) saṃmoda
ཀུན་དགའ་རྒྱལ་མཚན་	ānandadhvaja
ཀུན་དགའ་སྙིང་པོ་	ānandagarbha
ཀུན་དགའ་ལྡན་	ānanda
ཀུན་དགའ་བ་	sammodana
ཀུན་དགའ་པོ་	ānanda
ཀུན་དགའ་མཛད་	santoṣaṇa
ཀུན་དགའ་རབ་	ārāma
ཀུན་དགའ་ར་བ་པ་	ārāmika
ཀུན་དགའི་ར་བ་	ārāma
ཀུན་དགའ་ར་བ་	ārāma
ཀུན་མགྱོགས་	āvega
ཀུན་འགེད་	saṃbibhajate
ཀུན་འགེགས་	parivāsa
ནམ་མཁའ་	parivāsa
ཀུན་འགོག་པ་	nirodha
ཀུན་འགོངས་	viśvaṃbhara
ཀུན་འགྱེད་	saṃvibhajate
ཀུན་འགྲོ་	1) añjabanam 2) āti 3) gagana
ཀུན་འགྲོ་འབད་	ābhoga
ཀུན་འགྲོའི་དྲི་ཅན་	āranālaka
ཀུན་རྒྱལ་	1) sañjaya 2) sañjayin
ཀུན་རྒྱུ་	āḍi
ཀུན་སྒྲོགས་	ārava
ཀུན་ཅིངས་	1) anaṅga 2) santāpita
ཀུན་བཅོམ་	1) āhara 2) yama
ཀུན་ཆུབ་	1) avagata 2) avasita
ཀུན་ཆུབ་པ་	1) avagata 2)
ཀུན་ཆུབ་པར་བྱེད་པ་	paryāyasyanti
ཀུན་མཆོག་ལྡན་	śrīkālacakra
ཀུན་འཇིགས་	saṃbhaya
ཀུན་འཇུག་	1) āveśana 2) karaṇa 3) visva 4) saṃstara
ཀུན་འཇོ་	āsina (?)
ཀུན་འཇོམས་	1) ākhaṇḍala 2) āghātaka 3) parighātana 4) yoga
ཀུན་བརྗོད་	1) ādehsa 2) ābhāṣaṇa
ཀུན་ཉོན་	sāṃkleśika
ཀུན་ཉོན་དང་རྣམ་བྱང་ཐ་དད་མེད་པ་	saṃkleśavyavadānābheda
ཀུན་མཉམ་	nibha
ཀུན་སྙིང་	1) ānandagarbha 2) tāranātha
ཀུན་ཏིའི་བུ་	kaunteya
ཀུན་ཏུ་	1) ā° 2) paritaḥ 3) bhṛśam (?) 4) sam° 5) samanu° 6) samanta° 7) samantataḥ 8) samantāta 9) samantena 10) samudā° 11) sarva 12) sarvataḥ 13) sarvatra 14) sarvathā 15) sarvi 16) saṃ
ཀུན་ཏུ་བཀོད་པ་རྒྱ་མཚོའི་སྤྱོད་པ་ལ་རྣམ་པར་བལྟ་བ་	samantavyūhasāgaracaryāvyavalokana
ཀུན་ཏུ་བཀྲམ་	ākīrṇa
ཀུན་ཏུ་སྐྱེ་	avaroha, āsava, udbhūta, upapatti
ཀུན་ཏུ་སྐྱོ་བ་	1) ākṣepa 3) udvega 3) prahasana 4) saṃvega 5) saṃkopa
ཀུན་ཏུ་བསྐྱེད་	samutpādayati
ཀུན་ཏུ་བསཡྐོད་ཅིང་	utkṣipta
ཀུན་ཏུ་ཁྱབ་པ་	samantagata
ཀུན་ཏུ་ཁྱོག་པ་	ājihma
ཀུན་ཏུ་འཁྲུགས་	ākula
ཀུན་ཏུ་འཁྲུགས་པ་	samudvigna
ཀུན་ཏུ་གང་	ākīrṇa
ཀུན་ཏུ་གང་བ་	sampūrṇa
ཀུན་ཏུ་གོ་བ་	viśruta
ཀུན་ཏུ་གྲོལ་	āmukta
ཀུན་ཏུ་དགའ་བར་མཛད་པ་	santoṣaṇa
ཀུན་ཏུ་འགུལ་ཏོ་	saṃpracal
ཀུན་ཏུ་འགེགནས་པ་	viśvamvhara
ཀུན་ཏུ་འགྱེད་པ་	saṃvibhajati
ཀུན་ཏུ་འགྲོ་བ་	sarvatraga
ཀུན་ཏུ་འགྲོ་བའི་རྒྱུ་	sarvatragahetu
ཀུན་ཏུ་རྒྱལ་བ་	sañjaya
ཀུན་ཏུ་རྒྱས་པར་བྱེད་པ་	parispharayati
ཀུན་ཏུ་རྒྱུ་	1) ācāra 2) parivrājaka 3) maskarī 4) samudācāra
ཀུན་ཏུ་རྒྱུ་པ་སེན་རིངས་ཀྱིས་ཞུས་པ་	dīrghanakhaparivrājakaparipṛcchā
ཀུན་ཏུ་རྒྱུ་བ་	āgama, āgamuka
ཀུན་ཏུ་རྒྱུག་	ādhāvamāna
ཀུན་ཏུ་དངང་བར་འགྱུར་ཞིང་	saṃtrasati
ཀུན་ཏུ་དངངས་	saṃtrasāvaḥ
ཀུན་ཏུ་ཆགས་པ་	1) vyagra, vyasta 2) vilagna 3) saṃrakta 4) saṃrāga
ཀུན་ཏུ་ཆེམ་ཆེམ་	sampragarj
ཀུན་ཏུ་ཆེར་སྣང་མིག་རུ་སྡུག་པ་	samantasthūlāvalokananayanābhirāma
ཀུན་ཏུ་མཆོག་	śiṣṭa
ཀུན་ཏུ་འཇུག་བྲལ་	nirodha
ཀུན་ཏུ་འཇོམས་པ་	samudghāta
ཀུན་ཏུ་འཇོམས་པར་བྱེད་	parimardayamāna
ཀུན་ཏུ་རྗེས་སུ་ཚོལ་བ་	samanveṣaṇa
ཀུན་ཏུ་བརྗོད་པ་	ādeśanā
ཀུན་ཏུ་བརྗོད་པའི་ཆོ་འཕྲུལ་	āveṣanaprātihārya
ཀུན་ཏུ་ཉུག་པར་བྱེད་	parimārjayati
ཀུན་ཏུ་བཏགས་པའི་མཚན་ཉིད་	parikalpitalakṣaṇa
ཀུན་ཏུ་རྟགས་པ་	parikalpita
ཀུན་ཏུ་རྟོག་པ་	1) saṃkalpa 2) saṃvīkṣaṇa
ཀུན་ཏུ་རྟོག་པའི་རྙོག་མེད་པ་	anāvilasaṃkalpa
ཀུན་ཏུ་ལྟ་བ་	ālokitaḥ
ཀུན་ཏུ་སྟོན་པ་	1) ādarśana 2) ādarśita
ཀུན་ཏུ་སྟོན་པར་བྱེད་དོ་	ādarśayati
ཀུན་ཏུ་བརྟགས་པ་	1) parikalpita 2) saṅkalpa
ཀུན་ཏུ་བསྟན་	saṃdarśita
ཀུན་ཏུ་བསྟན་པ་	saṃdarśana
ཀུན་ཏུ་ཐ་སྙད་འདོགས་པ་	sāmvyavahārika
ཀུན་ཏུ་འཐག་པ་	avamarda
ཀུན་ཏུ་འཐོར་	avakīrṇa
ཀུན་ཏུ་དོར་	nirasta
ཀུན་ཏུ་དྲི་བསུང་	samantagandha
ཀུན་ཏུ་དྲིས་	pṛcchati
ཀུན་ཏུ་བདེ་བ་	samantasukha
ཀུན་ཏུ་འདོད་ཆགས་པ་	saṃrāga
ཀུན་ཏུ་འདྲིའོ་	paripṛchati
ཀུན་ཏུ་ལྡེག་གོ་	sampravidh
ཀུན་ཏུ་སྡུད་པ་	saṅgraha
ཀུན་ཏུ་གནས་	sthiti, vasiti
ཀུན་ཏུ་གནས་ནས་	samāśrita
ཀུན་ཏུ་གནོད་པར་གྱུར་པ་	samabhidruta
ཀུན་ཏུ་མནར་སེམས་	āghāta
ཀུན་ཏུ་སྣང་བ་	1) samantāloka 2) samantāvabhāsa
ཀུན་ཏུ་སྣང་བར་བྱེད་	paridīpayamāna
ཀུན་ཏུ་སྤྱད་	ācaret
ཀུན་ཏུ་སྤྱད་དེ་	[ samudācaritvā]
ཀུན་ཏུ་སྤྱན་	samantanetra
ཀུན་ཏུ་སྤྱོད་པ་	1) paribhuṅkte 2) samudācarati 3) samudācāra
ཀུན་ཏུ་སོཡོད་པ་གཙང་བ་	śucisamācāra
ཀུན་ཏུ་སྤྱོད་པའི་བློ་གྲོས་	samantacāritramati
ཀུན་ཏུ་སྤྱོད་ལམ་	samanteryāpatha
ཀུན་ཏུ་སྤྲས་	ābhūṣāyita
ཀུན་ཏུ་ཕན་པ་	samāhita
ཀུན་ཏུ་འཕགས་	samudgata
ཀུན་ཏུ་འཕོ་བ་	saṅkrama
ཀུན་ཏུ་བྲོས་	sandrava
ཀུན་ཏུ་འབར་བ་	ādīpta
ཀུན་ཏུ་འབར་བར་གྱུར་	pradipta
ཀུན་ཏུ་འབྱུང་གྱུར་	sambhavantu
ཀུན་ཏུ་འབྱུང་ངོ་	sambhavati
ཀུན་ཏི་འབྱུང་བ་	1) samudaya 2) samudācāra
ཀུན་ཏུ་འབྱུང་བར་འགྱུར་	bhaviṣyati ... samudbhavaḥ
ཀུན་ཏུ་འབྲང་	samanubaddha
ཀུན་ཏུ་འབྲེལ་བ་	prayoga
ཀུན་ཏུ་སྦྱིན་པའི་འོས་སུ་གྱུར་བ་	āhavanīya
ཀུན་ཏུ་སྦྱོར་བ་	1) parikṣīṇā 2) saṃyojana
ཀུན་ཏུ་སྦྱོར་བ་ལྟག་མ་དང་བཅས་པ་	sāvaśeṣasaṃyojana
ཀུན་ཏུ་མ་ཟིན་པ་	āparyādatta
ཀུན་ཏུ་མི་འཁོར་	na saṃsarati
ཀུན་ཏུ་མིག་	samantanetra
ཀུན་ཏུ་མྱུར་བ་	samantajava
ཀུན་ཏུ་མྱོང་བར་འགྱུར་	saṃvedayati
ཀུན་ཏུ་དམན་འགྲོ་	ādīnava
ཀུན་ཏུ་རྨོངས་པ་	sammoha
ཀུན་ཏུ་རྨོངས་པའི་དྲ་བ་ཆེན་པོ་	sammoha-mahājāla
ཀུན་ཏུ་རྨོངས་བྱེད་ཀྱི་མདའ་	sammohana
ཀུན་ཏུ་བཙལ་ན་	parigaveṣamāṇa
ཀུན་ཏུ་ཚིམ་པར་གྱུར་	āvarjita
ཀུན་ཏུ་ཚོགས་པའི་གབ་ཚིག་	samāgatā prahelikā
ཀུན་ཏུ་འཚི་བ་	urbāsanaṃ (?)
ཀུན་ཏུ་འཛིན་པ་	āgraha
ཀུན་ཏུ་འཛིན་མ་	avadhāraṇī
ཀུན་ཏུ་རྫོགས་པ་	avasita
ཀུན་ཏུ་ཞུམ་	saṃlīyate
ཀུན་ཏུ་ཞུམ་པ་	ālīna
ཀུན་ཏུ་ཞེན་པ་	1) āsakta 2) parāyaṇa
ཀུན་ཏུ་གཞག་པར་བགྱི་	sambhāvayiṣyāmi
ཀུན་ཏུ་ཟག་པའི་བག་ཆགས་	āsrava
ཀུན་ཏུ་གཟི་བརྗིད་	samantatejas
ཀུན་ཏུ་གཟིགས་	avalokiteṣvara
ཀུན་ཏུ་བཟང་	samantabhadra
ཀུན་ཏུ་བཟང་པོ་	1) samantabhadra 2) sarvatobhadra
ཀུན་ཏུ་བཟང་པོ་གླང་ཆེན་པོ་	hasti [ vāhana] samantabhadra
ཀུན་ཏུ་བཟང་པོ་ཞེས་བྱ་བའི་གཟུངས་	samantabhadranāmadhāraṇī
ཀུན་ཏུ་བཟང་པོ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས་	samantabhadranāmasādhana
ཀུན་ཏུ་བཟང་པོ་ཞེས་བྱ་བའི་སྦྱིན་སྲེག་གི་ཆོ་ག་	samantabhadranāmahomavidhi
ཀུན་ཏུ་བཟང་པོའི་སྒྲུབ་པའི་ཐབས་ཀྱི་འགྲེལ་པ་	samantabhadrasādhanavṛtti
ཀུན་ཏུ་བཟང་པོའི་སྤྱོད་པ་	samantabhadracaryā
ཀུན་ཏུ་བཟང་པོའི་མཚན་བརྒྱ་རྩ་བརྒྱད་པ་གཟུངས་སྔགས་དང་བཅས་པ་	samantabhadrāṣṭottaraśatakanāma dhāraṇī
ཀུན་ཏུ་བཟང་མོ་	1) caturaṅgasādhana samantabhadrīnāma 2) samantabhadracaryā 3) samantabhadrā 4) samantabhadrī
ཀུན་ཏུ་འུར་འུར་	1) saṃravaṇa 2) sampraraṇ
ཀུན་ཏུ་འོད་	1) samantaprabha 2) samantaprabhā
ཀུན་ཏུ་ཡི་མུག་འགྱུར་	sammohamāgataḥ
ཀུན་ཏུ་ཡོན་ཏན་	samantaguṇa
ཀུན་ཏུ་རབ་ཏུ་འཁྲུགས་པ་	samprakṣubhita
ཀུན་ཏུ་རབ་ཏུ་འགུལ་	samprakampita
ཀུན་ཏུ་རབ་ཏུ་དངང་བར་འགྱུར་བ་	santrāsamāpadyate
ཀུན་ཏུ་རབ་ཏུ་དངང་བར་འགྱུར་ནས་	santrāsamāpadyāmahe
ཀུན་ཏུ་རབ་ཏུ་ཆེམ་ཆེམ་	sampragarjita
ཀུན་ཏུ་རབ་ཏུ་མཆེད་ཅིང་འབར་བ་	samprajvalita
ཀུན་ཏུ་རབ་ཏུ་འཆེད་ཅིང་འབར་བ་	samprajvalita
ཀུན་ཏུ་རབ་ཏུ་ལྡེག་	sampravedhita
ཀུན་ཏུ་རབ་ཏུ་འབར་	sampradīpta
ཀུན་ཏུ་རབ་ཏུ་འུར་འུར་	sampraragita
རབ་ཏུ་རིག་	aveda
རྣམ་པར་ཀུན་ཏུ་རིག་པ་	aveda
རབ་ཏུ་རོ་གཅིག་མཚན་ཉིད་	sarvatra ekarasalakṣaṇa
ཀུན་ཏུ་བརླག་པ་	ārambha
ཀུན་ཏུ་ཤིག་ཤིག་	samprakṣubh
ཀུན་ཏུ་ཤེས་པར་བྱ་བ་	ājñeyā
ཀུན་ཏུ་ཤེས་པར་བྱེད་པ་	ājñāpanīyā
ཀུན་ཏུ་སྲུངས་ཤིག་	ārakṣayiṣyatha
ཀུན་ཏུ་གསལ་	ādīpaka, ābhā, ābhāsa
ཀུན་ཏུ་བསགས་པ་	ācita
ཀུན་ཏུ་བསུང་	samantagandha
ཀུན་ཏུ་བསྲུང་བ་	ārakṣā
ཀུན་ཏུ་བསྲུངས་པ་	ārakṣā
ཀུན་གཏན་དུ་	sarveṇa sarvam
ཀུན་གཏུམ་	caṇḍāla
ཀུན་གཏོང་	santyāga
ཀུན་བཏགས་	parikalpita
ཀུན་བཏུས་	samucchaya
ཀུན་རྟོག་	1) vikalpa 2) saṃskāra 3) ṣaṅkalpa
ཀུན་རྟོག་པ་	ßparikalpa
ཀུན་རྟོག་པ་དང་མཚན་མ་	parikalpitanimitta
ཀུན་རྟོག་བྱེད་	saṅkalpayiṣyāmi
ཀུན་སྟེར་	sarvaṃdada
ཀུན་སྟོབས་	sarvabala
ཀུན་བརྟགས་	1) parikalpana 2) parikalpita
ཀུན་བརྟགས་པ་	1) parikalpa 2) parikalpita
ཀུན་བརྟགས་པའང་མ་ཡིན་པ་	aparikalpita
ཀུན་བརྟགས་པའི་ངོ་བོ་ཉིད་	parikalpitasvabhāva
ཀུན་བརྟགས་པའི་ངོ་བོ་ཉིད་བསྟན་པ་	parikalpitasvabhāvadeśanā
ཀུན་བརྟགས་པའི་ངོ་བོ་ཉིད་རྣམ་པར་བཞག་པ་	parikalpitasvabhāvavyavasthāpana
ཀུན་བརྟགས་པའི་མཚན་ཉིད་	parikalpitalakṣaṇa
ཀུན་བརྟགས་པའི་རང་བཞིན་རབ་ཏུ་དབྱེ་བའི་ཚུལ་མཚན་ཉིད་	parikalpitā
ཀུན་བརྟགས་པས་	vikalpya
ཀུན་བརྟན་	avahelā
ཀུན་བསྟེན་	ārādhanā
ཀུན་ཐོབ་	ānāyya
ཀུན་མཐོང་	ādarśā
ཀུན་འཐོར་	āsphoṭa
