Tibetan	Description
བཀྲེས་	/p.བཀྲེས་ (archaic). /ps.བཀྲེས་ /f.བཀྲེས་ /imp.བཀྲེས་ -./inv./int./synt. [a.o].Denominative of:བཀྲེས་ «hunger» []/m. To be hungry To feel hungry 
བཀྲོས་	/p.བཀྲོས་ /ps.བཀྲོས་ /f.བཀྲོས་/imp.བཀྲོས་/m. To choose; to select. 
རྐམ་	/p.བརྐམ་ རྐོམ་ རྐམ[ (archaic)]. /ps.བརྐམ་ བརྐམས་ /f.བརྐམ་/imp.བརྐམ་ རྐམས་ རྐོམས - /vl./inv./int/synt. [a.o] /ch.ex.ཟས་ནོར་སོགས་ལ་'dod la/m.To desire, long for (as a child for sweets) To be attached to, to yearn for.
རྐུ་	/p.རྐུ་ /ps.བརྐུས་ /f.བརྐུ་/imp.རྐུས་ /vl./tr/synt. [e.a].Denominative of:རྐུན་མ་'thief'[]/ch.ex.གཞན་གྱི་ནོར་སོགས་ gzhan nor sogs rkun ma /m. To steal; to rob. To steal; to take away unlawfully To steal, to take by sleight the property of another which has not been given or paid for.
རྐོ་	/p.རྐོ་ རྐོད་ /ps.བརྐོས་ /f.བརྐོ་/imp.རྐོས་ /vl./int/synt. [e.a].Denominative of:རྐ་ «furrow» /ch.ex.ཁྲོན་པ་སོགས་ {sa dang dpar sogs} {sa drang spar sogs} /m. 1. To dig, dig out; to hoe. 2. To engrave; turn up; till To inscribe; to dig; to engrave; to print To dig (a hole in the ground &c.) 1. To dig, excavate. 2. To carve out letters and designs (in stone, wood &c.).
རྐོན་	/p.རྐོན་ /ps.བརྐོནད་ /f.བརྐོན་/imp.རྐོནད་/den.རྐོན་ «a net, trap» []/m. To trap or catch in a trap. /n. From colloquial data hypothesizes a verb *bskon 'to cause to get caught, hung up i.e. to hang on a peg' as the causative of *ཁོན་ or *འཁོན་ 'to get caught, hung up'. Perhaps confirms her hypothesis.
རྐོམ་	རྐོམ་ gives as the present of རྐམ་
རྐྱག་	རྐྱག་ gives as a present of སྐྱག་
རྐྱལ་	/p.རྐྱལ་ /ps.བརྐྱལ་ རྐྱལ་ /f.རྐྱལ་/imp.རྐྱོལད་ རྐྱོལ་ /vl./tr/synt. [e.a]￼/ch.ex.ཆུ་བོ་/m. To swim, to amuse oneself by swimming (Ja) To swim 
རྐྱོང་	/p.རྐྱོང་ /ps.བརྐྱངས་ /f.བརྐྱང་/imp.རྐྱོངས་ /vl./tr/synt. [e.a].Denominative of:རྐང་ «foot» /ch.ex.ཡན་ལག་སོགས་ zhabs sogs yan lag. /m. To stretch, extend, stretch forth (one's hands to a person), put out (the tongue); spread; distend (the wings, a curtain) To stretch out one's arms; to extend To extend, stretch (the feet, hands &c.) To stretch, spread out, extend./n. Related to རྒྱོང་
ལྐུགས་	/p.ལྐུག་ ལྐུགས་  /ps.ལྐུགས་ /f.ལྐུག་ ལྐུགས་ /imp.ལྐུགས་ -./inv./int/synt. [a.o].Denominative of:ལྐུག་ «dumb, mute» []/m. To become foolish; to become dumb To become unable to speak clearly To be dumb, to be unable to talk, to loose one's voice.
སྐད་	/p.སྐད་ /ps.སྐད་ /f.སྐད་/tr.Denominative of:སྐད་ «language,  speech» []/m. To say, tell, relate The written equivalent of zhes and zer which mark the end of quoted speech.
སྐམ་	/p.སྐམ་ /ps.བསྐམས་སྐམ་(Hoshi 2003). /f.བསྐམ་/imp.སྐམས་/inv./int./m. To make thirsty To dry up, dry out /n. Compare: skem
སྐར་	/p.སྐར་ /ps.བསྐར་/imp.སྐོར་ /vl./m. To hangup; to weigh.
སྐུ་	སྐུ་ gives as an alternate present of སྐུད་
སྐུག་	/p.སྐུག་ /ps.བསྐུགས་ /f.བསྐུག་/imp.སྐུགས་ /inv. /int. /synt. [e.a] /m. For the winner not comply with the game of taking wealth, after a dispute over victory and defeat To make a bet, to bet, to gambol.
སྐུང་	/p.སྐུང་ /ps.བསྐུངས་ /f.བསྐུང་/imp.བསྐུངས་ /vl. /tr.,  ￼/synt. [e.a] /ch.ex.དབེན་པ་སོགས་སུ་ sbed pa'i /m. To hide in the ground, to bury, to inter To hide; to keep secret 1. To hide away. 2. To write the symbol «X» as a substitute for following words which are repeated in lines of verse, or other expression To hide, conceal.
སྐུད་	/p.སྐུད་ སྐུ་ /ps.བསྐུས་ /f.བསྐུ་/imp.སྐུས་ /vl./tr/synt. [e.a]./cs.bku[]/ch.ex.སྣུ་མ་སོགས་ sman sogs /m. To smear, to besmear; to daub To anoint; to apply oil or ointment To put (dye, oil &c.) on the surface of something To apply, put on, cover, smear.
སྐུམ་	/p.སྐུམ་ /ps.བསྐུམས་ /f.བསྐུམ་TD སེཨེམས to have dskum bya as the future, but bskum must be meant./imp.སྐུམས་ སྐུམ་ /vl./tr/synt. [e.a]./cs. འཁུམ་/ch.ex.ཡན་ལག་སོགས་ rkanglagsogs /m. To contract; to be drawn up; to be paralyzed To withdraw, to draw in; to make shorter or smaller; to contract; to conceal The opposite of produce, extend 1. To contract, bend, pull in. 2. To conceal, to obfuscate.
སྐུར་	/p.སྐུར་ /ps.བསྐུརད་བསྐུར་ /f.བསྐུར་ /imp.སྐུརད་ སྐུར་ /vl./tr/synt. [e.a]./cs.འཁུར་ /ch.ex.དབང་དང་འགན་/m. To bestow, give, send To make someone carry; to send; to cause to venerate on, to make someone pay respect 1. To deliver to the place of delivery by entrusting (a thing, letter &c.) with another person, post office. 2. For something to be carried (on the water, wind &c.) 1. To send, dispatch. 2. To give, bestow, entrust, assign.
སྐུལ་	/p.སྐུལ་ /ps.བསྐུལད་ བསྐུལ་ /f.བསྐུལ་/imp.སྐུལད་ སྐུལ་  /vl. /tr/synt. [Erg. Abs] /ch.ex.ཆོས་བསྐུལ་སོགས་TD thug rgyud las sogs la las la dang dge la /m. To excite; to exhort, admonish, enjoin To induce; exhort, urge; to request to do something; to persuade To motivate, incite 1. To induce, compel, persuade. 2. To incite, motivate.
སྐེམ་	[1]/p.སྐེམ་ སྐེམས་སྐམ. /ps.བསྐམས་ /f.བསྐམ་/imp.སྐོམས་ སྐེམས་￼. སྐམས་ /vl./int/synt. [Erg. Obl.].Denominative of:སྐེམ་ སྐམ་ «dry» []/ch.ex.ཆུ་སོགས་  is unclear, []lu sogs?. gos gsher ba dang me tog sogs /m. To make dry, to dry up To dry To make fewer, to dehydrate. To dry out, to dry.
སྐེམ་	[2]/p.སྐེམས་ སྐེམ་ /ps.བསྐམས་ /f.བསྐམ་/imp.-/inv./tr.Denominative of:སྐེམ་ སྐམ་ «dry» []/ch.ex.ཁ་ ཁ་སོགས་[]. /m. To wilt (of plants), become dry.
སྐོ་	/p.སྐོ་ /ps.བསྐོས་ /f.བསྐོ་ /imp.སྐོས་ /vl./tr/synt. [e.a] /ch.ex.དཔོན་གྱོགསོགས་las sne sogs.rgyal sar/m. To select; to appoint, nominate, commission, charge To appoint For leaders or people to give responsibility to a person for a task To appoint. 2. To be determined by the power of past deeds./n.(Uray 1972: 19) connects this verb with མཁོས་/ཁོས་/ཁོད་ 'institution, administration, settlement of the state' along with the verbs, འཁོད་ and འགོད་
སྐོང་	[1]/p.སྐོང་ /ps.བསྐངས་ /f.བསྐང་ /imp.སྐོངས་ /vl. /tr/synt. [e.a].Denominative of:སྐང་བ་ «satisfaction» (Rona-Tas 1985: 179)/ch.ex.ཐུགས་དམ་སོགས་thugs dam dang re ba sogs.thugs dam/m. To fulfill To complete; to add; to satisfy, fulfill a wish 1. To fulfill. 2. To make up a deficiency; to supplement.
སྐོང་	[2]/p.སྐོང་ /ps.བསྐོངས་ /f.བསྐོང་/imp.སྐོངས་ /vl./tr./synt. [e.a] /m. To summon, convene.
སྐོན་	/p.སྐོན་ /ps.བསྐོནད་བསྐོན་ /f.བསྐོན་/imp.སྐོནད་སྐོན་ /vl./tr/synt. [Erg. Obl.]./cs.gon gyon  འཁོན་/ch.ex.ཁྲབ་རྨོག་ལྟ་བུ་སོགས་gos sogs/m. To dress; to clothe another person To make someone put on a dress or an ornament 1. To make someone wear (wools, a hat &c.). 2. To cause an action similar to the wearing of hats or clothes (e.g. bridle a horse, tie a rope around a calf's neck) To dress, put on clothes, to cover./n.Written Tibetan སྐོན་ བསྐོན་ བསྐོན་ «to dress, to clothe another person»: གོན་ «to put on (clothes, shoes)» appears to be an example of the devoicing caused by s similar to སྤུབ་ འབུབ་ Our spoken Tibetan data, however, does not confirm this meaning of སྐོན་ suggesting rather two bases, ￼*ཀོན་ «to get caught», and *གོན་ «to get dressed».
སྐོམ་	/p.སྐོམ་ /ps.སྐོམ་ སྐོམས་ /f.སྐོམ་/imp.-./inv./int. /synt. [a.o].Denominative of:སྐོམ་ «dry» []/m. For a desire to drink to arise when the liquid of the body is depleted To suffer because the wetness within the mouth has dried./n. Compare: skam and skem.
སྐོར་	[1]/p.སྐོར་ /ps.བསྐོརད་བསྐོར་ /f.བསྐོར་/imp.སྐོརད་ སྐོར་ /vl./tr./synt. [e.a]./cs.འཁོར་/ch.ex.ཆོས་འཁོར་སོགས་ལྷ་ཁང་དང་རྟེན་ལ་འཁོར་བར་/m. 1. To fill with; to surround, encircle, enclose, besiege; to come again and again; to revolve. 2. To traverse, ride round a thing. 3. To circumambulate To turn round; to turn a wheel; to take a round; to encircle, surround 1. To make something turn around the circumference of a center. 2. To lead, take control. 3. To encircle, surround. 4. To change directions, shift allegiances. 5. To trick, mislead 1. To turn around, rotate. 2. To surround, encircle./n. suggest that skyor is a palatalized version of this verb, however skor has the root vowel o and skyor the root vowel a, so his analysis is unlikely.
སྐོར་	[2]/p.སྐོར་ /ps.བསྐོར་ /f.བསྐོར་/imp.སྐོར་ /vl. /int. /vl. /m. To go, wander, roam, loaf To wander, to roam, to move about./n. In Situ's great commentary only bskor and not skor is given.
སྐོལ་	/p.སྐོལ་ /ps.བསྐོལད་བསྐོལ་ /f.བསྐོལ་/imp.སྐོལད་ སྐོལ་ /vl., /tr/synt. [e.a] /cs.འཁོལ་/ch.ex.ཟ་སོགས་za dang chu.za dang chu sogs/m. To boil.
སྐྱ་	/p.སྐྱས་ སྐྱ་ /ps.བསྐྱས་ /f.བསྐྱ་/imp.སྐྱོས་ སྐྱས་ /vl./tr/synt. [e.a] /ch.ex.གཞི་དང་རུས་པ་སོགས་ འཕོ་བའི་/m. 1. To carry; convey to a place (a quantity of stones, wood, water, &c.). 2. To change place To move one's residence or dwelling; to migrate, transfer 1. To move, to move from one place to another, to migrate. 2. (archaic) To deliver, convey.
སྐྱག་	/p.སྐྱག་ རྐྱག་ /ps.བསྐྱོགས་ /f.བསྐྱག་/imp.སྐྱོག་/m. 1.￼To spread, lay out, expand. 2. (in West) To slaughter, murder (Ja)./n. suggests comparison with འགྱག་
སྐྱད་	/p.སྐྱད་ /ps.བསྐྱད་ /f.བསྐྱད་/imp.སྐྱད་/synt. [e.a] /m. To kill 1. To kill. 2. To compete [Lishi གུར་ཁང་]
སྐྱས་	སྐྱས་ gives as the present of སྐྱ་
སྐྱི་	/p.སྐྱི་ /ps.བསྐྱིས་ /f.བསྐྱི་/imp.སྐྱིས་ /vl./tr/synt. [e.a] /ch.ex.གཞན་ལས་གསེར་དངུལ་སོགས་nor sogs/m. To borrow, especially money or goods To lend; to borrow; to give or take something on loan To loan, borrow./n. Certainly the same verb as skyin[].
སྐྱིག་	[1]/p.སྐྱིག་ /ps.བསྐྱིགས་ /f.བསྐྱིག་/imp.སྐྱིགས་/m. To cause to tie, to fasten.
སྐྱིག་	[2]/p.སྐྱིག་(Ja)/m. To hiccup (Ja).
སྐྱིན་	/p.སྐྱིན་ /ps.བསྐྱིན་བསྐྱིནད་ /f.བསྐྱིན་/imp.སྐྱིནད་/den.སྐྱིན་པ་ «loan» []/m. To borrow To lend, to borrow./n. Compare: {skyi}.
སྐྱིལ་	/p.སྐྱིལ་ /ps.བསྐྱིལད་ བསྐྱིལ་ /f.བསྐྱིལ་/imp.སྐྱིལད་ སྐྱིལ་ /vl. /tr/synt. [e.a]./cs.འཁྱིལ་ /ch.ex.མཚོ་དནག་ཆུ་སོགས་chu sogs/m. 1. To pen up, shut up; to dam up a river. 2. (Ja) to bend, especially the legs when sitting on the ground after the oriental fashion. To bend in another's leg by a kick from behind; to bend the bow To dam; to store 1. To dam up, to pen up, contain. 2. To keep.
སྐྱུག་	[1]/p.སྐྱུག་ /ps.སྐྱུགས་ /f.སྐྱུག་/imp.སྐྱུགས་ /vl.Denominative of:སྐྱུག་པ་ «vomit, purgative» []/ch.ex.ཀོང་ནད་/m. To vomit, to eject (e.g. blood). 2. To lose color, to stain To vomit; to come out forcefully.
སྐྱུག་	[2]/p.སྐྱུག་ /ps.བསྐྱུགས་ /f.བསྐྱུག་￼/imp.སྐྱུགས་ /vl./tr. /int./synt. [e.a].Denominative of:སྐྱུག་པ་ «vomit, purgative»[]/m. To cause to vomit To release the contents of the viscera from the mouth To vomit, to wretch.
སྐྱུང་	/p.སྐྱུང་  /ps.བསྐྱུངས་  /f.བསྐྱུང་ /imp.སྐྱུངས་  /vl., /tr/synt. [e.a] /ch.ex.ཁེངས་པ་སོགས་nyung du/m. 1. To diminish, reduce. 2. (Ja) (In central Tibet) to leave behind; to lay aside (a task). To reduce or diminish one's prive or voice; to subdue; to give up. 1. To cast off, leave far behind, to abandon and put behind; to give up completely, to discard completely. 2. To lessen (in amount, degree), to reduce (in size, extent) . /ps.བསྐྱུད་ /f.བསྐྱུད་/imp.སྐྱུད་ - /vl. /inv./tr. /int. /synt. [a.o] /ch.ex.སེམས་ལ་brjed bya/m. 1. To forget. 2. To leave off (Ja). 3. To communicate, swallow (Sch.) To forget; to fail to recall (archaic) To forget To forget.
སྐྱུར་	/p.སྐྱུར་ /ps.བསྐྱུརད་བསྐྱུར་ /f.བསྐྱུར་/imp.སྐྱུརད་ སྐྱུར་ /vl./tr/synt. [e.a]./cs.འཁྱུར་/ch.ex.བྱ་བ་ངན་པ་སོགས་རྒྱབ་ཏུ་phar la/m. To throw, to cast; to leave off To throw or to cast off, to renounce or give up 1. To throw away, discard (rubbish). 2. To abandon, leave behind (homeland, troubles) 1. (Mental) To give up on, to abandon, to forsake, to go back on something which one has previously adhered to, to leave behind something for something else seen as better. 2. (Physical) To toss off, away, to cast off something which is now seen as rubbish or as useless .
སྐྱེ་	/p.སྐྱེ་ /ps.སྐྱེས་ /f.སྐྱེ་/imp.སྐྱེ་ སྐྱེས་ - /inv./int/synt. [Abs.]. [a.o]./res.skyed (Laufer 1915: 62).Denominative of:སྐྱེ་བ་ «birth», skye bu «person» []/ch.ex.སྲིད་པ་སོགས་སུ་/m. To be born, arise To be born; to come out newly 1. kinds of vegetation having first sprouted a shoot, to develop fruit. 2. To issues from the mother's womb. 3. To mature, rise up like the sprouting of vegetation. 4. To become larger or longer. 5. To arise, occur 1. To be born, to arise, to grow anew. 2. To grow, increase.
སྐྱེང་	[1]/p.སྐྱེང་ སྐྱེངས་ /ps.སྐྱེངས་ /f.སྐྱེང་སྐྱེངས་ /imp.སྐྱེངས་-./inv./int/synt. [a.o] /m. To be ashamed To be ashamed; to be embarrassed To be abashed, embarrassed, circumspect (especially regarding speech) ./n. I could see here two verbs (skyengs, skyengs, skyengs, - ) and (skyeng, skyengs, skyeng, skyengs) the evidence is insufficient to decide.
སྐྱེང་	[2]/p.སྐྱེང་ /ps.བསྐྱེངས་ /f.བསྐྱེང་ /imp.སྐྱེངས་/m. To make shameful or to cause to be ashamed; to belittle; to bring down.
སྐྱེད་	/p.སྐྱེད་ /ps.བསྐྱེད་ /f.བསྐྱེད་/imp.སྐྱེད་ /vl./tr/synt. [e.a]./cs.skye(Laufer 1915: 62), /ch.ex.ཆོ་ག་དངབུ་སོགས་ལྷ་སོགས་དང་སེམས་/m. To procreate, generate, bring forth. give birth to To make progress, to increase, widen.
སྐྱེམ་	/p.སྐྱེམ་ /ps.སྐྱེམས་/m. To be thirsty./n. Root given as skyem < skyam < skam.
སྐྱེལ་	/p.སྐྱེལད་སྐྱེལ་ /ps.བསྐྱལད་  སེཨེམས to have bskyamdwhich must be in fact bskyald. has bskyal.bskyal. /f.བསྐྱལ་/imp.སྐྱོལད་སྐྱོལ་  /vl./tr/synt. [e.a] /ch.ex.གཏོ་མདོས་སོགས་gnas su/m. 1. To carry, to take away. 2. To send. 3. To risk, to stake (one's life). 4. To use, to employ To deliver a person or thing; to see off, to kiss; to lose; to vow; to accomplish 1. To go from one place to another place accompanying another person in order to show love, to protect, or supervise. 2. To raise a thing from one place to another place. 3. To use, employ. 4. To finish, perfect 1.To escort, to see off. 2. To send, transport, deliver, 3. To do, to apply. 4. To pass, spend (of time)./n. Root given as skyal /n. Compare: འཁྱོལ་
སྐྱེལ་	/p.སྐྱེལ་ /ps.བསྐྱེལ་ /f.བསྐྱེལ་/imp.སྐྱོལ་/inv./int. /m. To conduct, accompany.
སྐྱོ་	/p.སྐྱོ་ /ps.སྐྱོ་ /f.སྐྱོ་/imp.སྐྱོ་-./inv./int/synt. [a.o].Denominative of:སྐྱོ་ «grief, sorrow» []/m. To be sad, to be gloomy 1. To be irritated. 2. To be disaffected 1. To be sad, to be miserable. 2. To be fed up with, to be weary of, to be disenchanted with, to have distaste for .
སྐྱོག་	/p.སྐྱོག་ /ps.བསྐྱོགས་ /f.བསྐྱོག་/imp.སྐྱོགས་ /vl./tr/synt. [e.a] /m. To turn, to turn away, aside To turn aside, to drive aside 1. To change direction. 2. To bend, make crooked 1. To turn. 2. To move over, to give way.
སྐྱོང་	[1]/p.སྐྱོང་ /ps.སྐྱོང་ /f.སྐྱོང་/int./m. To go on a long road.
སྐྱོང་	[2]/p.སྐྱོང་E /ps.བསྐྱངས་ བསྐྱོངས་ /f.བསྐྱང་/imp.སྐྱོང་(Zeisler 2004: 349).skyongs. /vl./tr/synt. [e.a] /ch.ex.དྲིན་གྱིས་brtse ba dang drin gyis.drin gyis bon [tshes]B bstan pa sogs/m. To guard; to keep; to defend; to save; to preserve To look after; to nurse, cherish; to take care of; to administer 1. To look after, support, take care of. 2. To supervise, direct, support 1. To sustain, take care of, tend, look after. 2. To protect, guard. 3. To manage, do, hold, control, carry out.
